file_name,section,sentence_num,eng_original,hindi_sarvam,eng_back
AU3699,Answer,13,"Salient features of the Curriculum and study/activity material of Physical Education and Sports are as follows; Khel Yoga, for grades 3 to 5, includes-  72 activities to develop Basic Motor movements, with joyful experiential learning, in a progressive and age-appropriate manner from Grade 3 to 5.","शारीरिक शिक्षा और खेल के पाठ्यक्रम और अध्ययन/गतिविधि सामग्री की प्रमुख विशेषताएँ निम्नलिखित हैं; खेल योग, ग्रेड 3 से 5 के लिए, इसमें शामिल हैं-  3 से 5वीं कक्षा तक प्रगतिशील और आयु-उपयुक्त तरीके से आनंददायक अनुभवात्मक शिक्षण के साथ बुनियादी मोटर गतिविधियों को विकसित करने के लिए 72 गतिविधियाँ हैं।","The following are the major features of the Physical Education and Sports Curriculum and Study/Activity Material; Sports Yoga, for grades 3 to 5, include:  There are 72 activities for developing basic motor skills in a progressive and age-appropriate manner from grades 3-5, including enjoyable experiential learning."
AU3699,Answer,14," 47 types of Warm Up and Cool-down exercises (15 in Grade 3, 16 in Grade 4 & 5)."," 47 प्रकार के वार्म अप और कूल-डाउन व्यायाम (ग्रेड 3 में 15, ग्रेड 4 और 5 में 16)।"," 47 types of warm up and cool down exercises (15 in grade 3, 16 per grade 4 and 5)."
AU3699,Answer,15," 42 Indigenous Games /Our Games - (17 in Grade 3, 13 in Grade 4, 12 in Grade 5)."," 42 स्वदेशी खेल/हमारे खेल - (ग्रेड 3 में 17, ग्रेड 4 में 13, ग्रेड 5 में 12)।"," 42 Indigenous Sports/Our Games - 17 in Grade 3, 13 in Grade 4, 12 in Grade 5."
AU3699,Answer,16," Yoga, which is divided into two sections: Yoga for Healthy Living and Yoga for Sadhna."," योग, जो दो खंडों में विभाजित हैः स्वस्थ जीवन के लिए योग और साधना के लिए योग।"," Yoga, which is divided into two sections: Yoga for healthy living and Yoga for spiritual practice."
AU3699,Answer,17,"Khel Yatra, for grades 6 to 8, includes-  A total of 50 activities based on the progression of indigenous/ traditional and Ethnosport.","खेल यात्रा, कक्षा 6 से 8 के लिए, में शामिल हैं-  कुल 50 गतिविधियाँ स्वदेशी/पारंपरिक और एथ्नोसपोर्ट की प्रगति पर आधारित हैं।",The sports tournament for classes 6-8 includes the following-  A total of 50 activities are based on indigenous/traditional and ethnosport activities.
AU3699,Answer,18," Eight modern/internationally recognized sports, namely Kho-kho, Kabaddi, Football, Track and Field, Table-Tennis, Badminton, Handball, and Volleyball, with their fundamental skills."," आठ आधुनिक/अंतर्राष्ट्रीय स्तर पर मान्यता प्राप्त खेल, अर्थात् खो-खो, कबड्डी, फुटबॉल, ट्रैक और फील्ड, टेबल-टेनिस, बैडमिंटन, हैंडबॉल और वॉलीबॉल, उनके मौलिक कौशल के साथ।"," Eight modern/international level recognised sports namely Kho-Kho, Kabaddi, Football, Track & Field, Table-tennis, Badminton, Handball and Volleyball along with their fundamental skills."
AU3699,Answer,19," Yoga, which is divided into two sections; Yoga for Daily Life and Yoga for Sadhna."," योग, जिसे दो भागों में विभाजित किया गया है; दैनिक जीवन के लिए योग और साधना के लिए योग।"," Yoga, which is divided into two parts; Yoga for daily life and Yoga for spiritual practice."
AU3699,Answer,20,Indigenous as well as international martial arts have been integrated in the Physical Education and well-being curriculum at the secondary stage.,माध्यमिक स्तर पर शारीरिक शिक्षा और कल्याण पाठ्यक्रम में स्वदेशी और अंतर्राष्ट्रीय युद्ध कला को एकीकृत किया गया है।,Indigenous and international martial arts have been integrated into the physical education and welfare curriculum at the secondary level.
AU3699,Answer,21,"The Physical Education and well-being textbooks from Grade 9 onwards include content on indigenous martial arts such as Kalaripayattu, Gatka, and Thang-Ta, along with international martial arts like Taekwondo and Judo.","9वीं कक्षा से शारीरिक शिक्षा और कल्याण पाठ्यपुस्तकों में कलरीपयट्टू, गतका और थांग-ता जैसे स्वदेशी युद्ध कला के साथ-साथ ताइक्वांडो और जूडो जैसे अंतर्राष्ट्रीय युद्ध कला के विषय शामिल हैं।","Physical education and welfare textbooks from class 9th onwards include topics from indigenous combat arts like Kalaripayattu, Gatka and Thang-Ta, as well as international combat sports like Taekwondo and Judo."
AU3699,Answer,22,"These inclusions aim to promote self-defence skills, physical fitness, discipline and awareness of India’s traditional martial arts heritage among students through the school curriculum.","ये सम्मिलन विद्यालय पाठ्यक्रम के माध्यम से छात्रों में आत्मरक्षा कौशल, शारीरिक फिटनेस, अनुशासन और भारत के पारंपरिक युद्ध कला विरासत के प्रति जागरूकता को बढ़ावा देने का लक्ष्य रखते हैं।","These affiliated schools aim to promote self-defense skills, physical fitness, discipline, and an awareness of India's traditional martial arts heritage among students through the curriculum."
AU3699,Answer,23,"As per NCF-SE, 2023, capacity building and training of teachers are integral components of the implementation of the Physical Education and Well-being.","एन.सी.एफ.-एस.ई., 2023 के अनुसार, क्षमता निर्माण और शिक्षकों का प्रशिक्षण शारीरिक शिक्षा और कल्याण के कार्यान्वयन के अभिन्न अंग हैं।","As per NCF-SE, 2023, capacity building and teacher training are integral to the implementation of physical education and well-being."
AU3699,Answer,24,"NCERT and other concerned institutions organise orientation and training programmes for teachers to familiarise them with the curriculum, pedagogical approaches and activities included in the Physical Education textbooks.","एन.सी.ई.आर.टी. और अन्य संबंधित संस्थान शिक्षकों को शारीरिक शिक्षा की पाठ्यपुस्तकों में शामिल पाठ्यक्रम, शिक्षण दृष्टिकोण और गतिविधियों से परिचित कराने के लिए अभिविन्यास और प्रशिक्षण कार्यक्रम आयोजित करते हैं।","NCERT and other related institutions organize orientation and training programmes to familiarize the teachers with the curriculum, teaching approaches, and activities included in the physical education textbooks."
AU3699,Answer,25,"These training and orientation programmes include guidance on the conduct of traditional and indigenous games, sports activities and related practices so that Physical Education teachers can effectively implement them in schools and promote India’s traditional sporting heritage among students.","इन प्रशिक्षण और अभिविन्यास कार्यक्रमों में पारंपरिक और स्वदेशी खेलों, खेल गतिविधियों और संबंधित प्रथाओं के संचालन पर मार्गदर्शन शामिल है ताकि शारीरिक शिक्षा के शिक्षक उन्हें विद्यालयों में प्रभावी ढंग से लागू कर सकें और छात्रों के बीच भारत के पारंपरिक खेल विरासत को बढ़ावा दे सकें।","These training and orientation programs include guidance on conducting traditional and indigenous games, sports activities, and related practices so that physical education teachers can effectively implement them in schools and promote India's traditional sports heritage among students."
AU3699,Answer,26,"NCERT regularly conducts capacity building programmes, Teacher Training programmes, for the master trainers, and Key resource persons of various states, from CBSE, Kendriya Vidyalayas, Navodaya Vidyalayas, SCERTs, DMSs, RIEs and Atomic Energy Education Society, etc.","एन.सी.ई.आर.टी. सी.बी.एस.ई., केंद्रीय विद्यालय, नवोदय विद्यालय, एस.सी.ई.आर.टी., डी.एम.एस., आर.आई.ई. और परमाणु ऊर्जा शिक्षा सोसायटी आदि से विभिन्न राज्यों के मास्टर प्रशिक्षकों और प्रमुख संसाधनों के लिए नियमित रूप से क्षमता निर्माण कार्यक्रम, शिक्षक प्रशिक्षण कार्यक्रम आयोजित करता है।","NCERT CBSE, Kendriya Vidyalaya, Navodaya Vidyalaya, SCERT, DMIS, RIE and Atomic Energy Education Society etc. regularly organize capacity building programmes, teacher training programmes for master trainers and key resources persons from various states."
AU3699,Answer,27,"The students of Kendriya Vidyalaya Sangathan (Boys and Girls) from Classes VI to XII are provided training in martial arts disciplines such as Judo, Taekwondo, Boxing and Wrestling under the Sports curriculum.","केंद्रीय विद्यालय संगठन (लड़के और लड़कियां) के कक्षा 6 से 12 तक के छात्रों को खेल पाठ्यक्रम के तहत जूडो, ताइक्वांडो, मुक्केबाजी और कुश्ती जैसे युद्ध कला के विषयों में प्रशिक्षण दिया जाता है।","Students from Kendriya Vidyalaya Sangathan (Boys and Girls) from classes VI to X are trained in martial arts such as Judo, Taekwondo, Boxing and Wrestling under the sports curriculum."
AU3699,Answer,28,"These sports disciplines are also included in the Regional and National Sports Meets of KVS, as well as in the National School Games organized by the School Games Federation of India (SGFI).",इन खेल विषयों को के.वी.एस. के क्षेत्रीय और राष्ट्रीय खेल प्रतियोगिताओं के साथ-साथ भारतीय स्कूल खेल महासंघ (एस.जी.एफ.आई.) द्वारा आयोजित राष्ट्रीय स्कूल खेलों में भी शामिल किया जाता है।,"These sports are also included in the regional and national games of KVS, as well as the National School Games conducted by the Sports Federation of India (SGFI)."
AU3699,Answer,29,"Further, special training in self-defence skills is also provided to the students under the PM SHRI Scheme.","इसके अलावा, पी.एम. श्री योजना के तहत छात्रों को आत्मरक्षा कौशल में विशेष प्रशिक्षण भी प्रदान किया जाता है।","In addition, students are also provided special training in self-defense skills under PM Shri Yojana."
AU3699,Answer,30,Self-defense training is imparted to all girl students in all Jawahar Navodaya Vidyalayas under the PM SHRI Scheme.,प्रधानमंत्री श्री योजना के तहत सभी जवाहर नवोदय विद्यालय में सभी छात्राओं को आत्मरक्षा प्रशिक्षण दिया जाता है।,"Under the Pradhan Mantri Shri Yojana, self-defense training is given to all the girls in all Jawahar Navodaya Vidyalayas."
AU3699,Answer,31,"Further, in order to boost the physical and mental strength of girls and to equip them to face any unprecedented situation in school or thereafter self defence training is provided to girls of class VI to XII of Government Schools under ""Rani Laxmi Bai Atma Raksha Prashikshan"" of Samagra Shiksha.","इसके अलावा, लड़कियों की शारीरिक और मानसिक शक्ति को बढ़ावा देने और उन्हें किसी भी अप्रत्याशित स्थिति का सामना करने के लिए तैयार करने के लिए, सरकारी विद्यालयों के कक्षा 6 से 12 तक की लड़कियों को समग्र शिक्षा के ""रानी लक्ष्मी बाई आत्म रक्षा प्रशिक्षण"" के तहत ""राणी लक्ष्मी बाई आत्म रक्षा प्रशिक्षण"" के तहत आत्मरक्षा प्रशिक्षण प्रदान किया जाता है।","In addition, to promote physical and mental strength among girls and to prepare them to face any untoward situation, the girls from class 6th to 12th of government schools are provided self-defence training under ""Rani Laxmi Bai Self Defence Training"" under ""Rani Laxmi Bai Self Defence Training"" of Samagra Shiksha."
AU3816,Question,1,"Will the Minister of EDUCATION be pleased to state: (a) whether the criteria for providing 10 per cent reservation to the Economically Weaker Section (EWS) category in educational institutions in the country has been implemented in accordance with the provision of 103rd Constitutional Amendment Act, 2019 of the Constitution, if so, the details thereof; (b) whether providing admission to the EWS category is mandatory for all the Central, State, Government funded and Private (non-minority) educational institutions, if so, the legal basis thereof; (c) the details of the number of students admitted under EWS category against the total seats available in Government and Non-Governmental institutions across the country during the last five years, year-wise and State-wise; (d) the details of admission under EWS category in Government and Non-Government Post- Matric educational institutions in the districts of Jaunpur, Moradabad, Bareilly, Badaun, Shahjahanpur, Meerut, Noida and Ghaziabad during the last five years, year-wise; and (e) the monitoring mechanism put in place by the Government to ensure transparency in the admission under the EWS category in educational institutions?","क्या शिक्षा मंत्री इस बात से प्रसन्न होंगे कि: (क) क्या देश में शैक्षिक संस्थानों में आर्थिक रूप से कमजोर वर्ग (ई.डब्ल्यू.एस.) श्रेणी के लिए 10 प्रतिशत आरक्षण प्रदान करने के मानदंड 103वें संविधान संशोधन अधिनियम, 2019 के प्रावधान के अनुसार लागू किए गए हैं, यदि हाँ, तो उनका विवरण; (ख) क्या ई.डब्ल्यू.एस. श्रेणी में प्रवेश सभी केंद्रीय, राज्य, सरकारी वित्त पोषित और निजी (गैर-अल्पसंख्यक) शैक्षणिक संस्थानों के लिए अनिवार्य है, यदि हाँ, तो इसका विवरण; (ग) पिछले पाँच वर्षों के दौरान देश भर में सरकारी और गैर-सरकारी संस्थानों में उपलब्ध कुल सीटों के मुकाबले ई.डब्ल्यू.एस. श्रेणी के तहत दाखिला लेने वाले छात्रों का वर्षवार और राज्यवार विवरण; (घ) सरकारी और गैर-सरकारी मैट्रिक के बाद के शैक्षणिक संस्थानों में ई.डब्ल्यू.एस. श्रेणी के तहत दाखिला लेने वाले छात्रों का विवरण।","Will the education minister be pleased with the fact that: (a) The details of the criteria proposed to be followed for granting 10 percent reservation in educational institutions in the country to the Economically Weaker Sections (EWS) among the general category, as provided in the Constitution (Amendment) Act, 2019, from the point of view of the criteria; (b) Whether the EWS criteria proposed in the Constitution (Amendment) Act, 2019, is reasonable and justified or not? Admission to SCs in Kindergartens Entrance tests for all Central, State, Government and private (Non-Minority) educational institutions are compulsory if an entrance test is conducted, then (i) Statistical data relating to number of seats available in Government and Non-Government institutions over the last five years, along with annual and State-wise breakup of EWS category students enrolled in an institution (ii) Statistical data relating to number of seats available in Government and Non-Government institutions after matriculation (iii) Statistical data relating to number of seats available in Government and Non-Government institutions after matriculation (iv) Statistical data relating to number of seats available in Government and Non-Government institutions after matriculation (iii) i.e."
AU3816,Answer,1,"to (e): Education is a subject in the Concurrent List of the Seventh Schedule to the Constitution of India, Centre and States are equally responsible for providing quality education to all.","भारत, केंद्र और राज्य सभी को गुणवत्तापूर्ण शिक्षा प्रदान करने के लिए उत्तरदायी हैं और शिक्षा (ई): भारत, केंद्र और राज्यों की सातवीं अनुसूची की समवर्ती सूची में शिक्षा एक विषय है।","India, the Centre and States are equally responsible for providing quality education and education (E): Education is a subject in the Concurrent List of the Seventh Schedule of the Constitutions of the Republic of India at the Centre and of the States."
AU3816,Answer,2,"The Universities, including Central Universities, are statutory autonomous organizations established under respective Central/ State Acts and governed by provisions of the Acts/Statutes/Ordinances/Regulations made thereunder.","केंद्रीय विश्वविद्यालयों सहित विश्वविद्यालय, संबंधित केंद्रीय/राज्य अधिनियमों के तहत स्थापित वैधानिक स्वायत्त संगठन हैं और अधिनियमों/विधियों/आदेशों/विनियमों के प्रावधानों द्वारा शासित हैं।",Central Universities including the University are statutory autonomous bodies established under the corresponding Central/State Acts and are governed by the Acts/Rules/Regulations in force.
AU3816,Answer,3,There are a total of 1279 universities out of which 57 Universities are Central Universities.,कुल 1279 विश्वविद्यालय हैं जिनमें से 57 विश्वविद्यालय केंद्रीय विश्वविद्यालय हैं।,There are a total of 1279 universities which are affiliated to 57 central universities.
AU3816,Answer,4,"Further, in accordance with the provisions of the Constitution (one hundred and third) Amendment Act, 2019 and in compliance to instructions received from the Ministry of Social Justice and Empowerment, the nodal Ministry in the matter, vide this Department’s O.M.","इसके अलावा, संविधान (एक सौ तीसरा) संशोधन अधिनियम, 2019 के प्रावधानों के अनुसार और सामाजिक न्याय और अधिकारिता मंत्रालय से प्राप्त निर्देशों के अनुपालन में, इस विभाग के ओ.एम. के माध्यम से, इस मामले में नोडल मंत्रालय को स्वीकृति प्रदान की गई है।","In addition, in compliance with the provisions of the Constitution (One Hundredth Amendment) Act, 2019 and the directives from the Ministry of Social Justice and Empowerment, the Nodal Ministry has been granted approval in this regard through the OM of this Department."
AU3816,Answer,5,"No.12- 4/2019-U1 dated 17th January, 2019 instructions have been issued to provide reservation in admission for the Economically Weaker Sections (EWSs) to Central Educational Institutions (CEIs) [as defined in clause (d) of section (2) of the Central Educational Institutions (Reservation in Admission) Act, 2006] subject to a maximum of ten per cent of the total seats in each category.","17 जनवरी, 2019 को जारी 12-4/2019-U1 संख्या के निर्देशों में आर्थिक रूप से कमजोर वर्गों (ईडब्ल्यूएस) के लिए केंद्रीय शैक्षणिक संस्थानों (सीईआईएस) में प्रवेश में आरक्षण प्रदान करने के लिए निर्देश जारी किए गए हैं, जो प्रत्येक श्रेणी में कुल सीटों के अधिकतम दस प्रतिशत तक होंगे।","In terms of the instructions issued on January 17, 2019, dated 12-4/2019-U1, reservations for economically weaker sections (EWS) in admission to central educational institutions (CEIs) are to be made by the EWS category (up to 10 percent of the total seats) in each category."
AU3816,Answer,6,"In this regard, an amount of Rs.","इस संबंध में, रुपये की एक राशि।","In this regard, Rs."
AU3816,Answer,7,4315.15 Crores has been sanctioned for creation of additional seats in the CEIs.,सी.ई.आई. में अतिरिक्त सीटें बनाने के लिए 4315.15 करोड़ रुपये स्वीकृत किए गए हैं।,An additional ₹4315.15 crore has been approved by the Ceni for creation of additional seats.
AU4034,Question,1,"Will the Minister of SOCIAL JUSTICE AND EMPOWERMENT be pleased to state: (a) whether special education and rehabilitation services are being provided to the visually impaired and hearing impaired persons through the National Institutes established under the Department of Empowerment of Persons with Disabilities (DEPwD); (b) if so, the steps taken for the expansion or upgradation of the said services; (c) whether similar specialized services are also being provided through dedicated National Institutes for other major categories of disabilities, if so, the details thereof; and (d) the total number of beneficiaries receiving education and rehabilitation services through the said National Institutes at present, State-wise?","सामाजिक न्याय और अधिकारिता मंत्री महोदय, यह बताएँगे कि क्या यह संभव है? (क) क्या दिव्यांगजन सशक्तीकरण विभाग (डी.ई.पी.डब्ल्यू.डी.) के अंतर्गत स्थापित राष्ट्रीय संस्थानों के माध्यम से दृष्टिबाधित और श्रवणबाधित व्यक्तियों को विशेष शिक्षा और पुनर्वास सेवाएँ प्रदान की जा रही हैं; (ख) यदि हाँ, तो क्या उक्त सेवाओं के विस्तार या उन्नयन हेतु कदम उठाए जा रहे हैं; (ग) यदि हाँ, तो क्या अन्य प्रमुख श्रेणियों की विकलांगताओं के लिए भी समर्पित राष्ट्रीय संस्थानों के माध्यम से इसी प्रकार की विशेष सेवाएँ प्रदान की जा रही हैं; (घ) यदि हाँ, तो क्या उनके लिए भी पर्याप्त धनराशि का प्रावधान किया गया है? उसके विवरण; और (ख) वर्तमान में उक्त राष्ट्रीय संस्थानों के माध्यम से शिक्षा और पुनर्वास सेवाएँ प्राप्त करने वाले लाभार्थियों की कुल संख्या राज्यवार?","Minister of Social Justice and Empowerment, will you tell if this is possible? ) Department of Empowerment of Persons with Disabilities (D.E.P.W.D) With regard to the above, it is proposed to provide for special education and rehabilitation services to persons with visual and hearing impairment through the national institutes set up under clause (a) above; (c) to what extent the above mentioned services are being extended or will be extended to other major categories of disabled persons through dedicated national institutes; and (d) to what extent any such special services are being provided through the national institutes set up for other sections of the society. Details of those; and (b) State-wise total number of beneficiaries currently receiving education and rehabilitation services through the aforesaid National Institutes?"
AU4034,Answer,1,"& (b): National Institutes (NIs) under the Department of Empowerment of Persons with Disabilities (DEPwD) provide special education, vocational training, skill development, early identification and intervention, therapeutic and rehabilitation services, audiology and speech therapy, Braille literacy, assistive device support services to persons with visual and hearing disabilities.","(ख): दिव्यांगजन सशक्तीकरण विभाग (डी.ई.पी.डब्ल्यू.डी.) के तहत राष्ट्रीय संस्थान (एन.आई.) दृष्टि और श्रवण विकलांग व्यक्तियों को विशेष शिक्षा, व्यावसायिक प्रशिक्षण, कौशल विकास, प्रारंभिक पहचान और हस्तक्षेप, चिकित्सीय और पुनर्वास सेवाएँ, श्रव्यविज्ञान और वाक् चिकित्सा, ब्रेल साक्षरता, सहायक उपकरण सहायता सेवाएँ प्रदान करते हैं।","(b): National Institute (NI) under Divyangjan Sashaktikaran Vibhag (DEPWD) provides specialized education, vocational training, skill development, early identification and intervention, therapeutic and rehabilitation services, audiology and speech therapy, braille literacy, and assistive devices support services to the persons with visual and hearing impairment."
