doc_id,ministry,question_id,question_hi,question_source,gold_answer_en,keywords_en,doc_available
AU3568,ayush,Q1,"क्या नागरिकों को मुफ्त आयुष दवाओं की उपलब्धता के बारे में सूचित करने के लिए डिजिटल प्लेटफॉर्म, मोबाइल एप्लिकेशन या एसएमएस अलर्ट का उपयोग किया जा रहा है?",official_hindi_doc,"Public Health being a State subject, the primary responsibility to ensure adequate availability of free Ayush medicines comes under the purview of respective State/UT Governments.","State/UT Governments, primary responsibility, State subject, public health",True
AU3568,ayush,Q2,आयुष सुविधाओं में दवाओं की उपलब्धता को डिजिटल रूप से ट्रैक करने के लिए आयुष मंत्रालय ने कौन सा प्लेटफॉर्म विकसित किया है?,official_hindi_doc,Ministry of Ayush developed the Ayush Hospital Management Information System (AHMIS) under Ayush Grid to digitize inventories and track medicine availability.,"AHMIS, Ayush Grid, digitize, inventory, track",True
AU3568,ayush,Q3,"क्या सरकारी सुविधाओं में मुफ्त आयुष दवाओं की घोषणा के बावजूद कमी की सूचना मिली है और यदि हां, तो सुधारात्मक कार्रवाई क्या की गई है?",official_hindi_doc,"Under NAM, 12,500 Ayushman Arogya Mandir (Ayush) [AAM (Ayush)] have been made operational across the country.","12500, Ayushman Arogya Mandir, AAM, NAM",True
AU3568,ayush,Q4,स्वास्थ्यकर्मियों को आयुष उपचार विकल्पों के बारे में प्रशिक्षित करने के लिए कौन-कौन से प्रशिक्षण कार्यक्रम आयोजित किए गए हैं?,official_hindi_doc,"Ministry of Ayush organized Training of Trainers (ToT) for ASHA and ANM workers. Master Trainer programmes were organized in 2024 and 2025 with CHEB, DGHS on musculoskeletal and metabolic disorders.","ToT, Training of Trainers, ASHA, ANM, Master Trainer, 2024, 2025",True
AU3568,ayush,Q5,आयुष मंत्रालय और राज्य स्वास्थ्य विभागों के बीच जागरूकता सृजन के लिए क्या समन्वय तंत्र विद्यमान है?,official_hindi_doc,"Under Flexible Component of NAM, State/UT Governments may avail financial assistance for training by submitting proposals through State Annual Action Plans (SAAPs) as per NAM guidelines.","SAAPs, State Annual Action Plans, NAM, proposals, financial assistance",True
AU4806,ayush,Q1,"सरकार द्वारा देश में आयुर्वेद, योग, यूनानी, सिद्ध और होम्योपैथी चिकित्सा पद्धतियों को बढ़ावा देने के लिए वर्तमान में कौन-कौन सी प्रमुख योजनाएं लागू की जा रही हैं?",official_hindi_doc,AOGUSY is implemented since 2021-22 with total budget outlay of Rs. 122.00 crores for five years.,"122 crores, AOGUSY, five years, 2021-22",True
AU4806,ayush,Q2,क्या सरकार ने विगत तीन वर्षों में आयुष चिकित्सा संस्थानों और अनुसंधान केंद्रों की स्थापना या उन्नयन के लिए विशेष बजटीय प्रावधान किया है?,official_hindi_doc,"Till date, 18 ASU&H pharmacies and 07 Drug Testing Laboratories (DTLs) have been supported. Rs. 40.13 crore has been sanctioned as Grant-in-Aid.","18 pharmacies, 07 DTLs, 40.13 crore, ASU&H",True
AU4806,ayush,Q3,एनएएम के अंतर्गत 2022-23 से 2024-25 के बीच राज्य/संघ राज्यक्षेत्र-वार केंद्रीय अनुदान-सहायता का विवरण क्या है?,official_hindi_doc,Rs. 255136.03 lakhs was released as Central Share under NAM during 2022-23 to 2024-25.,"255136.03 lakhs, 2022-23, 2024-25, NAM, Central Share",True
AU4806,ayush,Q4,आयुष पद्धतियों के अंतर्गत निर्मित दवाओं की गुणवत्ता और मानकीकरण सुनिश्चित करने के लिए कौन सा नीतिगत या विनियामक ढांचा लागू किया गया है?,official_hindi_doc,The Drugs & Cosmetics Act 1940 and Drugs Rules 1945 govern ASU&H drugs. PCIM&H lays down pharmacopoeial standards. Compliance with GMP as per Schedule T and Schedule M-I is mandatory.,"Drugs & Cosmetics Act 1940, Drugs Rules 1945, PCIM&H, GMP, Schedule T",True
AU4806,ayush,Q5,प्राथमिक स्वास्थ्य केंद्रों और जिला अस्पतालों में आयुष सेवाओं के एकीकरण के लिए सरकार ने कौन सी रणनीति अपनाई है?,official_hindi_doc,"Government adopted a strategy of Co-location of Ayush facilities at PHCs, CHCs and District Hospitals, enabling patients to choose different medicine systems under a single window.","Co-location, PHCs, CHCs, District Hospitals, single window",True
AU5648,ayush,Q1,"क्या देश भर में प्रशिक्षित आयुष चिकित्सकों और फार्मासिस्टों की भारी कमी है और यदि हां, तो तत्संबंधी ब्यौरा क्या है?",official_hindi_doc,"Public Health being a State subject, primary responsibility to assess vacant positions in Ayush facilities lies with the respective State/UT Government.","State/UT Government, primary responsibility, vacant positions, State subject",True
AU5648,ayush,Q2,सरकारी अस्पतालों और स्वास्थ्य केंद्रों में कितने पद रिक्त हैं?,official_hindi_doc,"Under NAM, components are available for setting up of up to 10/30/50 bedded Integrated Ayush Hospitals.","10/30/50 bedded, Integrated Ayush Hospitals, NAM",True
AU5648,ayush,Q3,क्या सरकार की ओर से राष्ट्रीय आयुष मिशन के अंतर्गत भर्ती में विलंब हुआ है?,official_hindi_doc,Ayushman Arogya Mandir (Ayush) is operationalized under National Ayush Mission (NAM) by upgrading existing Ayush dispensaries and Sub health Centres.,"Ayushman Arogya Mandir, NAM, National Ayush Mission, Ayush dispensaries",True
AU5648,ayush,Q4,एनएएम के अंतर्गत 10/30/50 बिस्तर वाले एकीकृत आयुष अस्पतालों की स्थापना के लिए किन घटकों का प्रावधान है?,official_hindi_doc,State/UT Governments may avail financial assistance under NAM by submitting suitable proposals through State Annual Action Plans (SAAPs) as per NAM guidelines.,"SAAPs, State Annual Action Plans, NAM, proposals",True
AU5648,ayush,Q5,राज्य/संघ राज्यक्षेत्र सरकारें एनएएम के तहत मानव संसाधन तैनाती के लिए वित्तीय सहायता कैसे प्राप्त कर सकती हैं?,official_hindi_doc,"No. Public Health being a State subject, the primary responsibility to conduct timely recruitment under NAM lies with the respective State/UT Government, not the central government.","No, State/UT Government, State subject, recruitment, primary responsibility",True
AU2540,education,Q1,"क्या सरकार द्वारा संचालित विद्यालयों और अन्य शैक्षणिक संस्थाओं में छात्रों को, हिंदी या किसी अन्य महत्वपूर्ण भाषा के अलावा, उनकी मातृभाषा में पढ़ाया जाता है?",official_hindi_doc,"NEP 2020 recommends medium of instruction until at least Grade 5, but preferably till Grade 8 and beyond, should be the home language/mother tongue/local language/regional language.","Grade 5, Grade 8, home language, mother tongue, local language",True
AU2540,education,Q2,राष्ट्रीय पाठ्यक्रम रूपरेखा (एनसीएफ-एसई) 2023 में R1 भाषा किसे कहा गया है?,official_hindi_doc,"R1 is the language used as medium of instruction (MoI), and in which literacy is first attained. Preferably it should be the most familiar language of the students, usually the mother tongue/home language.","R1, medium of instruction, MoI, literacy, mother tongue, home language",True
AU2540,education,Q3,एनईपी 2020 के अनुसार कम से कम किस कक्षा तक मातृभाषा/स्थानीय भाषा को शिक्षा का माध्यम बनाने की सिफारिश की गई है?,official_hindi_doc,UGC has launched a project for promoting academic writing and translation in Indian languages. (Note: specific project name not mentioned in this doc; doc refers to CBSE circulars and NEP language policy.),"UGC, academic writing, Indian languages, translation, promotion",True
AU2540,education,Q4,एनईपी 2020 में तीन-भाषा सूत्र के संबंध में क्या प्रावधान किया गया है और क्या किसी राज्य पर कोई भाषा थोपी जाएगी?,official_hindi_doc,"AICTE language policy is aligned with NEP 2020 and NCF-SE 2023, which promote multilingual education and mother tongue-based instruction.","AICTE, NEP 2020, NCF-SE 2023, multilingual, mother tongue",True
AU2540,education,Q5,भारतीय भाषाओं में अकादमिक लेखन और अनुवाद को बढ़ावा देने के लिए क्या नीतिगत प्रावधान किए गए हैं?,official_hindi_doc,"No language will be imposed on any State under NEP 2020. The three languages learned by children will be the choices of States, regions, and students themselves, so long as at least two are native to India.","No language imposed, States, choice, NEP 2020, three languages, native to India",True
AU2749,education,Q1,वर्ष 2024 में पीएम विद्यालक्ष्मी पोर्टल के आरंभ से लेकर अब तक इसके माध्यम से आवेदन करने वाले छात्रों की संख्या और स्वीकृत ऋणों की संख्या कितनी है?,official_hindi_doc,"More than 68,000 PM-Vidyalaxmi education loans have been sanctioned between 25th February 2025 and 2nd March 2026.","68000, PM-Vidyalaxmi, loans sanctioned, February 2025, March 2026",True
AU2749,education,Q2,पीएम विद्यालक्ष्मी योजना के अंतर्गत अब तक कुल कितनी राशि के ऋण स्वीकृत किए गए हैं?,official_hindi_doc,The total amount sanctioned under PM-Vidyalaxmi is Rs. 9118 crores.,"9118 crores, PM-Vidyalaxmi, sanctioned amount",True
AU2749,education,Q3,पोर्टल पर अब तक कुल कितनी शिकायतें प्राप्त हुई हैं और उनमें से कितनी हल की गई हैं?,official_hindi_doc,"A total of 26,683 grievances were received; 25,061 have been resolved. 123 complaints pertain to delays or rejection; 106 have been resolved.","26683 grievances, 25061 resolved, 123 complaints, delays or rejection, 106 resolved",True
AU2749,education,Q4,पीएम विद्यालक्ष्मी योजना के अंतर्गत कितने गुणवत्तापूर्ण उच्च शिक्षा संस्थानों (क्यूएचईआई) को शामिल किया गया है?,official_hindi_doc,A total of 955 Quality Higher Education Institutions (QHEIs) have been included under the PM-Vidyalaxmi Scheme.,"955, QHEIs, PM-Vidyalaxmi",True
AU2749,education,Q5,क्या टियर-II और टियर-III शहरों के संस्थानों में पढ़ने वाले छात्र भी इस योजना के अंतर्गत ऋण प्राप्त करने के पात्र हैं?,official_hindi_doc,Yes. PM-Vidyalaxmi provides collateral-free and guarantor-free education loans to all students with merit-based admission in QHEIs across India including Tier-II and Tier-III cities. There is no upper limit.,"collateral-free, guarantor-free, QHEIs, Tier-II, Tier-III, no upper limit",True
AU3703,education,Q1,पीएम-उषा योजना किस वित्तीय वर्ष की अवधि के लिए शुरू की गई है और इसका कुल वित्तीय प्रावधान कितना है?,official_hindi_doc,PM-USHA has been launched for the period 2023-24 to 2025-26 with an outlay of Rs. 12926.10 crore.,"12926.10 crore, PM-USHA, 2023-24, 2025-26",True
AU3703,education,Q2,फतेहगढ़ साहिब जिले में कुल कितने उच्च शिक्षा संस्थान (एचईआई) हैं?,official_hindi_doc,"The number of HEIs in Fatehgarh Sahib district: 3 universities, 23 colleges, 9 standalone institutions — total 35 HEIs.","35 HEIs, Fatehgarh Sahib, 3 universities, 23 colleges, 9 standalone",True
AU3703,education,Q3,पंजाब के लिए पीएम-उषा के अंतर्गत कितने प्रोजेक्ट अनुमोदित किए गए हैं और उनकी कुल राशि कितनी है?,official_hindi_doc,"As per UDISE+, the number of primary schools in Fatehgarh Sahib district is available in the document annexure. (Specific number not stated in the main answer text.)","UDISE+, primary schools, Fatehgarh Sahib, Punjab",True
AU3703,education,Q4,फतेहगढ़ साहिब लोकसभा निर्वाचन क्षेत्र के अंतर्गत आने वाले जिलों में पीएम-उषा के तहत कितनी इकाइयां और कितनी राशि स्वीकृत की गई है?,official_hindi_doc,86 projects amounting to Rs. 581.61 crore have been approved to Punjab including 11 units amounting to Rs. 34 crore in Fatehgarh Sahib Lok Sabha Constituency districts.,"86 projects, 581.61 crore, Punjab, 11 units, 34 crore, Fatehgarh Sahib",True
AU3703,education,Q5,"क्या सरकार उक्त निर्वाचन क्षेत्र में केंद्रीय विद्यालय, नवोदय विद्यालय या केंद्रीय विश्वविद्यालय स्थापित करने का विचार रखती है?",official_hindi_doc,"Under PM-USHA, States/UTs have flexibility to utilize funds for activities including digital learning. Specific 2025-26 digital learning amount not stated separately in this document.","PM-USHA, digital learning, States/UTs, funds",True
AU3821,education,Q1,"सरकार ने पिछले पांच वर्षों और वर्तमान वित्तीय वर्ष (वित्त वर्ष 2020-21 से 2025-26) में आईआईटी, एनआईटी, आईआईआईटी, आईआईएसईआर और आईआईएससी के लिए कुल कितनी राशि स्वीकृत की है?",official_hindi_doc,"The Government has sanctioned Rs. 99,494.24 crore during the last five years and current financial year (FY 2020-21 to 2025-26) for IITs, NITs, IIITs, IISERs and IISc.","99494.24 crore, IITs, NITs, IIITs, IISERs, IISc, FY 2020-21 to 2025-26",True
AU3821,education,Q2,कृत्रिम बुद्धिमत्ता के लिए उत्कृष्टता केंद्रों (सीओई) की स्थापना का अनुमोदन किन क्षेत्रों में किया गया है और इसके लिए कितनी राशि का प्रावधान किया गया है?,official_hindi_doc,"Government approved establishment of three Centres of Excellence (CoE) in Artificial Intelligence in areas of health, sustainable cities and agriculture.","three CoE, Centres of Excellence, Artificial Intelligence, health, sustainable cities, agriculture",True
AU3821,education,Q3,अनुसंधान राष्ट्रीय अनुसंधान फाउंडेशन (एएनआरएफ) की स्थापना किस अधिनियम के तहत की गई है और इसका कुल बजटीय प्रावधान कितना है?,official_hindi_doc,"Anusandhan National Research Foundation (ANRF) has been set up under the Anusandhan National Research Foundation Act 2023 with a total budgetary outlay of Rs. 50,000 crore over five years.","50000 crore, ANRF, Anusandhan National Research Foundation, five years",True
AU3821,education,Q4,वर्ष 2014 से अब तक देश में कितने नए एम्स स्थापित किए गए हैं?,official_hindi_doc,"Since 2014, 7 new AIIMS have been established, and 16 are operational.","7 new AIIMS, 16 operational, 2014",True
AU3821,education,Q5,उच्च शिक्षा वित्तपोषण एजेंसी (हेफा) के अंतर्गत अब तक विभिन्न उच्च शिक्षा संस्थानों को कितनी राशि स्वीकृत की गई है?,official_hindi_doc,"HEFA has sanctioned Rs. 31,264 crore to various HEIs.","31264 crore, HEFA, HEIs",True
AU414,education,Q1,क्या केंद्रीय विश्वविद्यालयों/राज्य विश्वविद्यालयों/अनुदान प्राप्त उच्च शिक्षा संस्थानों में एसोसिएट प्रोफेसर के पद वर्तमान में विभिन्न श्रेणियों में खाली पड़े हैं?,official_hindi_doc,Recruitment powers for Associate Professors in CHEIs vest with the respective Board of Governors/Executive Committee/Board of Management. No active role of the Ministry is involved.,"Board of Governors, Executive Committee, Board of Management, CHEIs, autonomous",True
AU414,education,Q2,"शिक्षकों के संवर्ग में अनुसूचित जातियों, अनुसूचित जनजातियों, अन्य पिछड़ा वर्ग और आर्थिक रूप से कमजोर वर्गों के लिए आरक्षण का प्रतिशत कितना है?",official_hindi_doc,"Reservation in teachers cadre: 15% for SCs, 7.5% for STs, 27% for OBCs (socially and educationally backward classes), and 10% for EWS.","15% SC, 7.5% ST, 27% OBC, 10% EWS, teachers cadre",True
AU414,education,Q3,24.10.2025 तक मिशन मोड में सभी केंद्रीय उच्च शिक्षा संस्थानों द्वारा कुल कितने पद भरे गए हैं?,official_hindi_doc,"Up to 24.10.2025, a total of 29,979 posts have been filled up by all CHEIs including 17,494 faculty positions in Mission Mode.","29979, 24.10.2025, Mission Mode, 17494 faculty positions, CHEIs",True
AU414,education,Q4,उक्त अवधि के दौरान केंद्रीय विश्वविद्यालयों ने अकेले कितने पद भरे हैं?,official_hindi_doc,"Central Universities alone have filled up 12,604 posts including 8,327 faculty positions during the Mission Mode recruitment drive.","12604, Central Universities, 8327 faculty positions, Mission Mode",True
AU414,education,Q5,क्या राज्य विश्वविद्यालयों के रिक्त पदों का विवरण केंद्रीय रूप से रखा जाता है?,official_hindi_doc,Vacancy details of State Universities are not maintained centrally. State Universities are established through respective State Acts and vacancies are filled by concerned State Governments/Universities themselves.,"State Universities, not maintained centrally, State Acts, State Governments",True
AU1387,labour,Q1,वर्ष 2025 में केंद्रीय क्षेत्र में कृषि क्षेत्र के अकुशल श्रमिकों के लिए क्षेत्र ए में दैनिक न्यूनतम मजदूरी (वीडीए सहित) कितनी निर्धारित है?,official_hindi_doc,"Agriculture unskilled workers in Area A receive Rs. 514 per day as minimum wage in the Central Sphere (as on 01.10.2025). Wages are equal for men and women as per Code on Wages, 2019.","514, Area A, Agriculture, unskilled, per day, 01.10.2025",True
AU1387,labour,Q2,वर्ष 2025 में केंद्रीय क्षेत्र में निर्माण क्षेत्र के उच्च-कुशल श्रमिकों के लिए क्षेत्र-सी में दैनिक मजदूरी दर कितनी है?,official_hindi_doc,Construction sector Highly-skilled workers in Area C receive Rs. 893 per day as minimum wage.,"893, Area C, Construction, Highly-skilled, per day",True
AU1387,labour,Q3,मजदूरी संहिता 2019 के अनुसार क्या पुरुषों और महिलाओं के लिए मजदूरी समान है?,official_hindi_doc,"Yes. As per Code on Wages, 2019, wages are equal for men and women.","Yes, equal, men and women, Code on Wages 2019",True
AU1387,labour,Q4,पत्थर तोड़ने और पत्थर पीसने में 1.0 से 1.5 इंच आकार के पत्थर के लिए प्रति ट्रक लोड मजदूरी कितनी है?,official_hindi_doc,"For stone size 1.0 inch to 1.5 inches in stone crushing, the wage is Rs. 3323 per truck load of 5.662 cubic meters or 200 cubic feet.","3323, 1.0 inch to 1.5 inches, per truck load, stone crushing",True
AU1387,labour,Q5,"मजदूरी संहिता, 2019 कब से प्रभावी हुई है और यह किस पूर्व अधिनियम का स्थान लेती है?",official_hindi_doc,Area C includes all areas other than Area A and Area B. (Note: exact list of states/cities not specified in this document; annexure refers to scheduled employment rates only.),"Area C, areas other than Area A and Area B, central sphere",True
AU1447,labour,Q1,श्रम और रोजगार मंत्रालय की केंद्रीय क्षेत्र योजनाओं के लिए राज्य-वार अलग आवंटन क्यों नहीं किया जाता?,official_hindi_doc,,,True
AU1447,labour,Q1,क्या तमिलनाडु में असंगठित श्रमिकों के लिए लागू केंद्र प्रायोजित श्रम कल्याण योजनाओं में 2025-26 के दौरान देरी हुई है?,official_hindi_doc,No delay. The schemes of Ministry of Labour and Employment are Central Sector schemes implemented on a pan India basis and fully funded by the Central Government. Separate State-wise allocations are not made. There has been no delay in implementation and release of funds under these schemes.,"no delay, Central Sector schemes, pan India, fully funded, no State-wise allocation",True
AU1447,labour,Q2,श्रम और रोजगार मंत्रालय द्वारा असंगठित श्रमिकों के लिए कौन-कौन सी प्रमुख कल्याण और सामाजिक सुरक्षा योजनाएं लागू की जा रही हैं?,official_hindi_doc,,,True
AU1447,labour,Q2,महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी योजना के तहत तमिलनाडु को 2024-25 और 2025-26 में कितनी राशि जारी की गई?,official_hindi_doc,"Under Mahatma Gandhi NREGS, Tamil Nadu received Rs. 7585.49 crores in 2024-25 and Rs. 6860.48 crores in 2025-26 (as on 29.01.2026).","7585.49 crores, 6860.48 crores, Tamil Nadu, NREGS, 2024-25, 2025-26",True
AU1447,labour,Q3,प्रधानमंत्री श्रम योगी मान-धन (पीएमएसवाईएम) योजना का क्या उद्देश्य है?,official_hindi_doc,,,True
AU1447,labour,Q3,ई-श्रम पोर्टल पर 31 दिसंबर 2025 तक कुल कितने असंगठित श्रमिकों ने पंजीकरण कराया है और तमिलनाडु में कितने हैं?,official_hindi_doc,"As on 31.12.2025, over 31.44 Crore unorganized workers have registered on eShram portal including 95.36 Lakh in the State of Tamil Nadu.","31.44 crore, eShram, 95.36 lakh, Tamil Nadu, 31.12.2025",True
AU1447,labour,Q4,राष्ट्रीय कैरियर सेवा (एनसीएस) के अंतर्गत मॉडल कैरियर सेंटर (एमसीसी) की स्थापना का क्या प्रावधान है?,official_hindi_doc,,,True
AU1447,labour,Q4,श्रम और रोजगार मंत्रालय की प्रमुख कल्याण और सामाजिक सुरक्षा योजनाएं कौन-कौन सी हैं?,official_hindi_doc,Major schemes: (i) PMSYM for old age pension; (ii) Labour Welfare Scheme (LWS) for Beedi/Cine/Non-Coal Mine workers; (iii) NCS for Model Career Centres; (iv) EPS 1995 through EPFO; (v) Rehabilitation of Bonded Labourers; (vi) Health services through ESIC; (vii) PMVBRY.,"PMSYM, LWS, NCS, EPS 1995, EPFO, ESIC, PMVBRY, Bonded Labourers",True
AU1447,labour,Q5,ईपीएफओ के माध्यम से लागू कर्मचारी पेंशन योजना (ईपीएस) 1995 का क्या उद्देश्य है?,official_hindi_doc,,,True
AU1447,labour,Q5,ई-श्रम पोर्टल का मुख्य उद्देश्य क्या है?,official_hindi_doc,"The main objective of the e-Shram portal is to create a National Database of Unorganized Workers, seeded with Aadhaar, and to facilitate delivery under existing social security and welfare schemes to such workers.","National Database, Unorganized Workers, Aadhaar, social security, welfare schemes",True
AU2463,labour,Q1,चारों श्रम संहिताएं पूरे देश में किस तारीख से लागू हुई हैं?,official_hindi_doc,The four Labour Codes came into force with effect from 21.11.2025 across the country.,"21.11.2025, four Labour Codes, came into force",True
AU2463,labour,Q2,औद्योगिक संबंध संहिता के तहत छंटनी/बंदी के अनुमोदन की सीमा 100 से बढ़ाकर कितनी की गई है?,official_hindi_doc,The threshold for approval of layoffs/closures has been raised from 100 to 300 workers under the Industrial Relations Code.,"100 to 300 workers, layoffs/closures, Industrial Relations Code",True
AU2463,labour,Q3,"मजदूरी संहिता, 2019 के लिए कितने राज्यों/केंद्रशासित प्रदेशों ने पूर्व-प्रकाशित नियम जारी किए हैं?",official_hindi_doc,"As per available information, 34 States/UTs have pre-published rules for Code on Wages, 2019.","34 States/UTs, Code on Wages 2019, pre-published rules",True
AU2463,labour,Q4,औद्योगिक संबंध संहिता में निश्चित अवधि रोजगार (एफटीई) के अंतर्गत ग्रेच्युटी के लिए न्यूनतम सेवा अवधि कितनी निर्धारित की गई है?,official_hindi_doc,Fixed Term Employment (FTE) workers are eligible for gratuity after just one year of service.,"one year, gratuity, Fixed Term Employment, FTE",True
AU2463,labour,Q5,गिग और प्लेटफॉर्म श्रमिकों के लिए सामाजिक सुरक्षा और कल्याण का प्रावधान किस संहिता में किया गया है?,official_hindi_doc,"The Code on Social Security, 2020 provides for the first time a separate chapter on Social Security and welfare of gig workers, platform workers and unorganised workers.","Code on Social Security 2020, gig workers, platform workers, unorganised workers, separate chapter",True
AU2658,labour,Q1,"बाल एवं किशोर श्रम (प्रतिषेध एवं विनियमन) अधिनियम, 1986 के अनुसार 14 वर्ष से कम आयु के बच्चों के लिए किस प्रकार के कार्य पर पूर्ण प्रतिबंध है?",official_hindi_doc,Complete prohibition on work or employment of children including migrant children below 14 years in any occupation and process.,"below 14 years, complete prohibition, any occupation, any process, migrant children",True
AU2658,labour,Q2,14 से 18 वर्ष के किशोरों के लिए किस प्रकार के कार्य पर प्रतिबंध है?,official_hindi_doc,Adolescents in the age group of 14 to 18 years are prohibited from working in hazardous occupations and processes.,"14 to 18 years, hazardous occupations, processes, prohibited",True
AU2658,labour,Q3,पारिवारिक उद्यम में बच्चों को कब और किन शर्तों पर काम करने की अनुमति है?,official_hindi_doc,"Children are permitted to help their families or family enterprises in non-hazardous occupations/processes, only after school hours or during vacations.","family enterprises, non-hazardous, after school hours, during vacations",True
AU2658,labour,Q4,बाल श्रम शिकायतों की निगरानी और ट्रैकिंग के लिए कौन सा ऑनलाइन पोर्टल विकसित किया गया है?,official_hindi_doc,Online portal 'PENCIL' (Platform for Effective Enforcement for No Child Labour) was developed to monitor and track complaints.,"PENCIL, Platform for Effective Enforcement for No Child Labour, online portal",True
AU2658,labour,Q5,जिला स्तर पर बाल श्रम अधिनियम के प्रवर्तन सुनिश्चित करने के लिए कौन सी संस्थागत व्यवस्थाएं की गई हैं?,official_hindi_doc,"Child and Adolescent Labour (Prohibition and Regulation) Rules, 1988 provide for District Nodal Officer (DNO) and Task Force at district level to enforce the Act.","District Nodal Officer, DNO, Task Force, district level, Rules 1988",True
AU5935,labour,Q1,महाराष्ट्र में 2023-24 में 15 वर्ष और उससे अधिक आयु की महिलाओं की सामान्य स्थिति पर श्रमबल भागीदारी दर (एलएफपीआर) कितनी थी?,official_hindi_doc,Female Labour Force Participation Rate (LFPR) in Maharashtra was 40.1% in 2023-24.,"40.1%, Maharashtra, 2023-24, LFPR, females",True
AU5935,labour,Q2,नई श्रम संहिताओं के अंतर्गत महिला श्रमिकों के लिए सवैतनिक प्रसूति अवकाश की अवधि कितनी सप्ताह निर्धारित की गई है?,official_hindi_doc,Up to 26 weeks of paid maternity leave is provided under the Labour Codes for women workers.,"26 weeks, paid maternity leave, Labour Codes",True
