doc_id,ministry,question_id,question_hi,gold_answer_en,keywords_en,question_source,doc_available
AU3568,ayush,Q1,मुफ्त आयुष दवाओं की उपलब्धता सुनिश्चित करने की प्राथमिक जिम्मेदारी किसकी है?,"Public Health being a State subject, the primary responsibility to ensure adequate availability of free Ayush medicines comes under the purview of respective State/UT Governments.","State/UT Governments, primary responsibility, State subject, public health",original,True
AU3568,ayush,Q2,आयुष दवाओं की उपलब्धता को ट्रैक करने के लिए कौन सा डिजिटल प्लेटफॉर्म विकसित किया गया है?,Ministry of Ayush developed the Ayush Hospital Management Information System (AHMIS) under Ayush Grid to digitize inventories and track medicine availability.,"AHMIS, Ayush Grid, digitize, inventory, track",original,True
AU3568,ayush,Q3,NAM के तहत कितने Ayushman Arogya Mandir (Ayush) संचालित किए गए हैं?,"Under NAM, 12,500 Ayushman Arogya Mandir (Ayush) [AAM (Ayush)] have been made operational across the country.","12500, Ayushman Arogya Mandir, AAM, NAM",original,True
AU3568,ayush,Q4,स्वास्थ्यकर्मियों के प्रशिक्षण के लिए कौन-कौन से कार्यक्रम आयोजित किए गए?,"Ministry of Ayush organized Training of Trainers (ToT) for ASHA and ANM workers. Master Trainer programmes were organized in 2024 and 2025 with CHEB, DGHS on musculoskeletal and metabolic disorders.","ToT, Training of Trainers, ASHA, ANM, Master Trainer, 2024, 2025",original,True
AU3568,ayush,Q5,राज्य सरकारें प्रशिक्षण और क्षमता निर्माण के लिए वित्तीय सहायता कैसे प्राप्त कर सकती हैं?,"Under Flexible Component of NAM, State/UT Governments may avail financial assistance for training by submitting proposals through State Annual Action Plans (SAAPs) as per NAM guidelines.","SAAPs, State Annual Action Plans, NAM, proposals, financial assistance",original,True
AU4806,ayush,Q1,AOGUSY योजना के लिए कुल कितना बजट निर्धारित किया गया है?,AOGUSY is implemented since 2021-22 with total budget outlay of Rs. 122.00 crores for five years.,"122 crores, AOGUSY, five years, 2021-22",original,True
AU4806,ayush,Q2,अब तक कितनी ASU&H pharmacies और Drug Testing Laboratories को वित्तीय सहायता दी गई है?,"Till date, 18 ASU&H pharmacies and 07 Drug Testing Laboratories (DTLs) have been supported. Rs. 40.13 crore has been sanctioned as Grant-in-Aid.","18 pharmacies, 07 DTLs, 40.13 crore, ASU&H",original,True
AU4806,ayush,Q3,2022-23 से 2024-25 के बीच NAM के तहत कुल कितनी केंद्रीय राशि जारी की गई?,Rs. 255136.03 lakhs was released as Central Share under NAM during 2022-23 to 2024-25.,"255136.03 lakhs, 2022-23, 2024-25, NAM, Central Share",original,True
AU4806,ayush,Q4,ASU&H दवाओं की गुणवत्ता सुनिश्चित करने के लिए कौन सा कानूनी ढांचा लागू है?,The Drugs & Cosmetics Act 1940 and Drugs Rules 1945 govern ASU&H drugs. PCIM&H lays down pharmacopoeial standards. Compliance with GMP as per Schedule T and Schedule M-I is mandatory.,"Drugs & Cosmetics Act 1940, Drugs Rules 1945, PCIM&H, GMP, Schedule T",original,True
AU4806,ayush,Q5,"PHC, CHC और जिला अस्पतालों में AYUSH सेवाओं के एकीकरण के लिए सरकार ने कौन सी रणनीति अपनाई है?","Government adopted a strategy of Co-location of Ayush facilities at PHCs, CHCs and District Hospitals, enabling patients to choose different medicine systems under a single window.","Co-location, PHCs, CHCs, District Hospitals, single window",original,True
AU5648,ayush,Q1,रिक्त पदों का आकलन करने की जिम्मेदारी किसकी है?,"Public Health being a State subject, primary responsibility to assess vacant positions in Ayush facilities lies with the respective State/UT Government.","State/UT Government, primary responsibility, vacant positions, State subject",original,True
AU5648,ayush,Q2,NAM के तहत कितने बिस्तरों वाले एकीकृत आयुष अस्पताल स्थापित किए जा सकते हैं?,"Under NAM, components are available for setting up of up to 10/30/50 bedded Integrated Ayush Hospitals.","10/30/50 bedded, Integrated Ayush Hospitals, NAM",original,True
AU5648,ayush,Q3,Ayushman Arogya Mandir किसके अंतर्गत संचालित होता है?,Ayushman Arogya Mandir (Ayush) is operationalized under National Ayush Mission (NAM) by upgrading existing Ayush dispensaries and Sub health Centres.,"Ayushman Arogya Mandir, NAM, National Ayush Mission, Ayush dispensaries",original,True
AU5648,ayush,Q4,राज्य सरकारें NAM के तहत वित्तीय सहायता कैसे प्राप्त करती हैं?,State/UT Governments may avail financial assistance under NAM by submitting suitable proposals through State Annual Action Plans (SAAPs) as per NAM guidelines.,"SAAPs, State Annual Action Plans, NAM, proposals",original,True
AU5648,ayush,Q5,क्या भर्ती की जिम्मेदारी केंद्र सरकार की है?,"No. Public Health being a State subject, the primary responsibility to conduct timely recruitment under NAM lies with the respective State/UT Government, not the central government.","No, State/UT Government, State subject, recruitment, primary responsibility",original,True
AU2540,education,Q1,NEP 2020 के अनुसार कम से कम किस कक्षा तक मातृभाषा/स्थानीय भाषा को माध्यम बनाने की सिफारिश की गई है?,"NEP 2020 recommends medium of instruction until at least Grade 5, but preferably till Grade 8 and beyond, should be the home language/mother tongue/local language/regional language.","Grade 5, Grade 8, home language, mother tongue, local language",original,True
AU2540,education,Q2,तीन-भाषा सूत्र में R1 किसे कहा गया है?,"R1 is the language used as medium of instruction (MoI), and in which literacy is first attained. Preferably it should be the most familiar language of the students, usually the mother tongue/home language.","R1, medium of instruction, MoI, literacy, mother tongue, home language",original,True
AU2540,education,Q3,भारतीय भाषाओं में अकादमिक लेखन और अनुवाद को बढ़ावा देने के लिए UGC ने कौन-सा प्रोजेक्ट शुरू किया है?,UGC has launched a project for promoting academic writing and translation in Indian languages. (Note: specific project name not mentioned in this doc; doc refers to CBSE circulars and NEP language policy.),"UGC, academic writing, Indian languages, translation, promotion",original,True
AU2540,education,Q4,AICTE की भाषा नीति किस राष्ट्रीय शिक्षा दस्तावेज़ के अनुरूप है?,"AICTE language policy is aligned with NEP 2020 and NCF-SE 2023, which promote multilingual education and mother tongue-based instruction.","AICTE, NEP 2020, NCF-SE 2023, multilingual, mother tongue",original,True
AU2540,education,Q5,क्या NEP 2020 के तहत किसी राज्य पर कोई भाषा थोपी जाएगी?,"No language will be imposed on any State under NEP 2020. The three languages learned by children will be the choices of States, regions, and students themselves, so long as at least two are native to India.","No language imposed, States, choice, NEP 2020, three languages, native to India",original,True
AU2749,education,Q1,PM-Vidyalaxmi के तहत कितने से अधिक शिक्षा ऋण स्वीकृत किए गए हैं?,"More than 68,000 PM-Vidyalaxmi education loans have been sanctioned between 25th February 2025 and 2nd March 2026.","68000, PM-Vidyalaxmi, loans sanctioned, February 2025, March 2026",original,True
AU2749,education,Q2,स्वीकृत कुल ऋण राशि कितनी है?,The total amount sanctioned under PM-Vidyalaxmi is Rs. 9118 crores.,"9118 crores, PM-Vidyalaxmi, sanctioned amount",original,True
AU2749,education,Q3,कुल कितनी शिकायतें प्राप्त हुईं और उनमें से कितनी हल की गईं?,"A total of 26,683 grievances were received; 25,061 have been resolved. 123 complaints pertain to delays or rejection; 106 have been resolved.","26683 grievances, 25061 resolved, 123 complaints, delays or rejection, 106 resolved",original,True
AU2749,education,Q4,कितने QHEIs को PM-Vidyalaxmi योजना के अंतर्गत शामिल किया गया है?,A total of 955 Quality Higher Education Institutions (QHEIs) have been included under the PM-Vidyalaxmi Scheme.,"955, QHEIs, PM-Vidyalaxmi",original,True
AU2749,education,Q5,क्या Tier-II और Tier-III शहरों के छात्र भी इस योजना के पात्र हैं?,Yes. PM-Vidyalaxmi provides collateral-free and guarantor-free education loans to all students with merit-based admission in QHEIs across India including Tier-II and Tier-III cities. There is no upper limit.,"collateral-free, guarantor-free, QHEIs, Tier-II, Tier-III, no upper limit",original,True
AU3703,education,Q1,PM-USHA योजना का कुल वित्तीय प्रावधान कितना है?,PM-USHA has been launched for the period 2023-24 to 2025-26 with an outlay of Rs. 12926.10 crore.,"12926.10 crore, PM-USHA, 2023-24, 2025-26",original,True
AU3703,education,Q2,फतेहगढ़ साहिब लोकसभा क्षेत्र में कुल कितनी HEIs हैं?,"The number of HEIs in Fatehgarh Sahib district: 3 universities, 23 colleges, 9 standalone institutions — total 35 HEIs.","35 HEIs, Fatehgarh Sahib, 3 universities, 23 colleges, 9 standalone",original,True
AU3703,education,Q3,फतेहगढ़ साहिब जिले में कितने प्राथमिक विद्यालय हैं?,"As per UDISE+, the number of primary schools in Fatehgarh Sahib district is available in the document annexure. (Specific number not stated in the main answer text.)","UDISE+, primary schools, Fatehgarh Sahib, Punjab",original,True
AU3703,education,Q4,फतेहगढ़ साहिब क्षेत्र में पंजाब के लिए कितने PM SHRI स्कूल बताए गए हैं?,86 projects amounting to Rs. 581.61 crore have been approved to Punjab including 11 units amounting to Rs. 34 crore in Fatehgarh Sahib Lok Sabha Constituency districts.,"86 projects, 581.61 crore, Punjab, 11 units, 34 crore, Fatehgarh Sahib",original,True
AU3703,education,Q5,2025-26 में डिजिटल लर्निंग के लिए कितनी राशि जारी की गई?,"Under PM-USHA, States/UTs have flexibility to utilize funds for activities including digital learning. Specific 2025-26 digital learning amount not stated separately in this document.","PM-USHA, digital learning, States/UTs, funds",original,True
AU3821,education,Q1,पिछले पाँच वर्षों और वर्तमान वित्तीय वर्ष में प्रमुख तकनीकी संस्थानों के लिए कुल कितनी राशि स्वीकृत की गई?,"The Government has sanctioned Rs. 99,494.24 crore during the last five years and current financial year (FY 2020-21 to 2025-26) for IITs, NITs, IIITs, IISERs and IISc.","99494.24 crore, IITs, NITs, IIITs, IISERs, IISc, FY 2020-21 to 2025-26",original,True
AU3821,education,Q2,AI के Centres of Excellence के लिए कुल कितना वित्तीय प्रावधान किया गया है?,"Government approved establishment of three Centres of Excellence (CoE) in Artificial Intelligence in areas of health, sustainable cities and agriculture.","three CoE, Centres of Excellence, Artificial Intelligence, health, sustainable cities, agriculture",original,True
AU3821,education,Q3,ANRF की कुल बजटीय राशि कितनी है?,"Anusandhan National Research Foundation (ANRF) has been set up under the Anusandhan National Research Foundation Act 2023 with a total budgetary outlay of Rs. 50,000 crore over five years.","50000 crore, ANRF, Anusandhan National Research Foundation, five years",original,True
AU3821,education,Q4,2014 से अब तक कितने नए AIIMS स्थापित किए गए हैं?,"Since 2014, 7 new AIIMS have been established, and 16 are operational.","7 new AIIMS, 16 operational, 2014",original,True
AU3821,education,Q5,HEFA के तहत अब तक कितनी राशि विभिन्न HEIs को स्वीकृत की गई है?,"HEFA has sanctioned Rs. 31,264 crore to various HEIs.","31264 crore, HEFA, HEIs",original,True
AU414,education,Q1,केंद्रीय उच्च शिक्षण संस्थानों में एसोसिएट प्रोफेसर की भर्ती की शक्ति किसके पास होती है?,Recruitment powers for Associate Professors in CHEIs vest with the respective Board of Governors/Executive Committee/Board of Management. No active role of the Ministry is involved.,"Board of Governors, Executive Committee, Board of Management, CHEIs, autonomous",original,True
AU414,education,Q2,"शिक्षक कैडर में SC, ST, OBC और EWS के लिए आरक्षण कितने प्रतिशत है?","Reservation in teachers cadre: 15% for SCs, 7.5% for STs, 27% for OBCs (socially and educationally backward classes), and 10% for EWS.","15% SC, 7.5% ST, 27% OBC, 10% EWS, teachers cadre",original,True
AU414,education,Q3,24.10.2025 तक मिशन मोड में कुल कितने पद भरे गए?,"Up to 24.10.2025, a total of 29,979 posts have been filled up by all CHEIs including 17,494 faculty positions in Mission Mode.","29979, 24.10.2025, Mission Mode, 17494 faculty positions, CHEIs",original,True
AU414,education,Q4,केंद्रीय विश्वविद्यालयों ने इनमें से कितने पद भरे?,"Central Universities alone have filled up 12,604 posts including 8,327 faculty positions during the Mission Mode recruitment drive.","12604, Central Universities, 8327 faculty positions, Mission Mode",original,True
AU414,education,Q5,क्या राज्य विश्वविद्यालयों के रिक्त पदों का डेटा केंद्र स्तर पर रखा जाता है?,Vacancy details of State Universities are not maintained centrally. State Universities are established through respective State Acts and vacancies are filled by concerned State Governments/Universities themselves.,"State Universities, not maintained centrally, State Acts, State Governments",original,True
AU1387,labour,Q1,केंद्रीय क्षेत्र में कृषि क्षेत्र के अकुशल महिला श्रमिकों के लिए Area A में दैनिक न्यूनतम मजदूरी कितनी है?,"Agriculture unskilled workers in Area A receive Rs. 514 per day as minimum wage in the Central Sphere (as on 01.10.2025). Wages are equal for men and women as per Code on Wages, 2019.","514, Area A, Agriculture, unskilled, per day, 01.10.2025",original,True
AU1387,labour,Q2,निर्माण क्षेत्र के highly-skilled श्रमिकों के लिए Area C में मजदूरी कितनी निर्धारित है?,Construction sector Highly-skilled workers in Area C receive Rs. 893 per day as minimum wage.,"893, Area C, Construction, Highly-skilled, per day",original,True
AU1387,labour,Q3,"क्या Code on Wages, 2019 के अनुसार पुरुष और महिलाओं के लिए मजदूरी समान है?","Yes. As per Code on Wages, 2019, wages are equal for men and women.","Yes, equal, men and women, Code on Wages 2019",original,True
AU1387,labour,Q4,Stone crushing में 1.0 से 1.5 inch आकार के पत्थर के लिए प्रति ट्रक मजदूरी कितनी है?,"For stone size 1.0 inch to 1.5 inches in stone crushing, the wage is Rs. 3323 per truck load of 5.662 cubic meters or 200 cubic feet.","3323, 1.0 inch to 1.5 inches, per truck load, stone crushing",original,True
AU1387,labour,Q5,Area C में कौन-कौन से क्षेत्र शामिल होते हैं?,Area C includes all areas other than Area A and Area B. (Note: exact list of states/cities not specified in this document; annexure refers to scheduled employment rates only.),"Area C, areas other than Area A and Area B, central sphere",original,True
AU1447,labour,Q1,क्या तमिलनाडु में असंगठित श्रमिकों के लिए लागू केंद्र प्रायोजित श्रम कल्याण योजनाओं में 2025-26 के दौरान देरी हुई है?,No delay. The schemes of Ministry of Labour and Employment are Central Sector schemes implemented on a pan India basis and fully funded by the Central Government. Separate State-wise allocations are not made. There has been no delay in implementation and release of funds under these schemes.,"no delay, Central Sector schemes, pan India, fully funded, no State-wise allocation",official_hindi_doc,True
AU1447,labour,Q2,महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी योजना के तहत तमिलनाडु को 2024-25 और 2025-26 में कितनी राशि जारी की गई?,"Under Mahatma Gandhi NREGS, Tamil Nadu received Rs. 7585.49 crores in 2024-25 and Rs. 6860.48 crores in 2025-26 (as on 29.01.2026).","7585.49 crores, 6860.48 crores, Tamil Nadu, NREGS, 2024-25, 2025-26",official_hindi_doc,True
AU1447,labour,Q3,ई-श्रम पोर्टल पर 31 दिसंबर 2025 तक कुल कितने असंगठित श्रमिकों ने पंजीकरण कराया है और तमिलनाडु में कितने हैं?,"As on 31.12.2025, over 31.44 Crore unorganized workers have registered on eShram portal including 95.36 Lakh in the State of Tamil Nadu.","31.44 crore, eShram, 95.36 lakh, Tamil Nadu, 31.12.2025",official_hindi_doc,True
AU1447,labour,Q4,श्रम और रोजगार मंत्रालय की प्रमुख कल्याण और सामाजिक सुरक्षा योजनाएं कौन-कौन सी हैं?,Major schemes: (i) PMSYM for old age pension; (ii) Labour Welfare Scheme (LWS) for Beedi/Cine/Non-Coal Mine workers; (iii) NCS for Model Career Centres; (iv) EPS 1995 through EPFO; (v) Rehabilitation of Bonded Labourers; (vi) Health services through ESIC; (vii) PMVBRY.,"PMSYM, LWS, NCS, EPS 1995, EPFO, ESIC, PMVBRY, Bonded Labourers",official_hindi_doc,True
AU1447,labour,Q5,ई-श्रम पोर्टल का मुख्य उद्देश्य क्या है?,"The main objective of the e-Shram portal is to create a National Database of Unorganized Workers, seeded with Aadhaar, and to facilitate delivery under existing social security and welfare schemes to such workers.","National Database, Unorganized Workers, Aadhaar, social security, welfare schemes",official_hindi_doc,True
AU2463,labour,Q1,चारों Labour Codes पूरे देश में किस तिथि से लागू हुए?,The four Labour Codes came into force with effect from 21.11.2025 across the country.,"21.11.2025, four Labour Codes, came into force",original,True
AU2463,labour,Q2,Industrial Relations Code के तहत layoffs/closures की सीमा 100 से बढ़ाकर कितनी की गई?,The threshold for approval of layoffs/closures has been raised from 100 to 300 workers under the Industrial Relations Code.,"100 to 300 workers, layoffs/closures, Industrial Relations Code",original,True
AU2463,labour,Q3,"Code on Wages, 2019 के लिए कितने राज्यों/केंद्रशासित प्रदेशों ने pre-published rules जारी किए हैं?","As per available information, 34 States/UTs have pre-published rules for Code on Wages, 2019.","34 States/UTs, Code on Wages 2019, pre-published rules",original,True
AU2463,labour,Q4,Fixed Term Employment के तहत gratuity कितने वर्ष बाद देय होती है?,Fixed Term Employment (FTE) workers are eligible for gratuity after just one year of service.,"one year, gratuity, Fixed Term Employment, FTE",original,True
AU2463,labour,Q5,gig और platform workers के लिए कौन-सा विशेष प्रावधान किया गया है?,"The Code on Social Security, 2020 provides for the first time a separate chapter on Social Security and welfare of gig workers, platform workers and unorganised workers.","Code on Social Security 2020, gig workers, platform workers, unorganised workers, separate chapter",original,True
AU2658,labour,Q1,14 वर्ष से कम आयु के बच्चों के लिए किस प्रकार के कार्य पर पूर्ण प्रतिबंध है?,Complete prohibition on work or employment of children including migrant children below 14 years in any occupation and process.,"below 14 years, complete prohibition, any occupation, any process, migrant children",original,True
AU2658,labour,Q2,14 से 18 वर्ष के किशोरों के लिए किस प्रकार के कार्य पर प्रतिबंध है?,Adolescents in the age group of 14 to 18 years are prohibited from working in hazardous occupations and processes.,"14 to 18 years, hazardous occupations, processes, prohibited",original,True
AU2658,labour,Q3,family enterprise' में बच्चों को कब काम करने की अनुमति है?,"Children are permitted to help their families or family enterprises in non-hazardous occupations/processes, only after school hours or during vacations.","family enterprises, non-hazardous, after school hours, during vacations",original,True
AU2658,labour,Q4,बाल श्रम शिकायतों की निगरानी के लिए कौन-सा ऑनलाइन पोर्टल विकसित किया गया है?,Online portal 'PENCIL' (Platform for Effective Enforcement for No Child Labour) was developed to monitor and track complaints.,"PENCIL, Platform for Effective Enforcement for No Child Labour, online portal",original,True
AU2658,labour,Q5,जिला स्तर पर अधिनियम के प्रवर्तन के लिए किन संस्थागत व्यवस्थाओं का प्रावधान है?,"Child and Adolescent Labour (Prohibition and Regulation) Rules, 1988 provide for District Nodal Officer (DNO) and Task Force at district level to enforce the Act.","District Nodal Officer, DNO, Task Force, district level, Rules 1988",original,True
AU3868,labour,Q1,2019-20 में ग्रामीण कृषि एवं संबद्ध क्षेत्र में कार्यरत श्रमिकों का प्रतिशत कितना था?,MISSING: Source document AU3868 not provided.,MISSING,original,False
AU3868,labour,Q2,2024-25 में खाद्यान्न उत्पादन कितना बताया गया है?,MISSING: Source document AU3868 not provided.,MISSING,original,False
AU3868,labour,Q3,सरकार कृषि श्रम की कमी दूर करने के लिए कौन-सी mechanization योजना चला रही है?,MISSING: Source document AU3868 not provided.,MISSING,original,False
AU3868,labour,Q4,ICAR ने देशभर में कितने Krishi Vigyan Kendras स्थापित किए हैं?,MISSING: Source document AU3868 not provided.,MISSING,original,False
AU3868,labour,Q5,KVKs किसानों के लिए कौन-सी दो प्रमुख गतिविधियाँ करते हैं?,MISSING: Source document AU3868 not provided.,MISSING,original,False
AU5935,labour,Q1,महाराष्ट्र में 2023-24 में महिलाओं की Labour Force Participation Rate कितनी थी?,Female Labour Force Participation Rate (LFPR) in Maharashtra was 40.1% in 2023-24.,"40.1%, Maharashtra, 2023-24, LFPR, females",original,True
AU5935,labour,Q2,महिलाओं के लिए paid maternity leave कितने सप्ताह की है?,Up to 26 weeks of paid maternity leave is provided under the Labour Codes for women workers.,"26 weeks, paid maternity leave, Labour Codes",original,True
AU5935,labour,Q3,कार्यस्थल पर महिलाओं की सुरक्षा के लिए कौन-सा इलेक्ट्रॉनिक पोर्टल उपलब्ध है?,SHe-Box (Sexual Harassment electronic Box) portal is available for women to register workplace harassment complaints.,"SHe-Box, Sexual Harassment electronic Box, portal, workplace",original,True
AU5935,labour,Q4,क्या महिलाएँ सुबह 6 बजे से पहले या शाम 7 बजे के बाद काम कर सकती हैं?,"Under the OSH Code, 2020, women may work in night shifts (before 6 AM or after 7 PM) only with their consent and if the employer provides adequate safety and transport facilities.","OSH Code 2020, night shift, consent, safety, transport facilities",original,True
AU5935,labour,Q5,महिला कार्यबल भागीदारी बढ़ाने के लिए 2024-25 बजट में कौन-सी सुविधा घोषित की गई?,The Union Budget 2024-25 announced working women hostels and creches in collaboration with industry to support female workforce participation.,"working women hostels, creches, Budget 2024-25, industry",original,True
AU2208,women,Q1,देशभर में कुल कितने Anganwadi centres के माध्यम से Mission Poshan 2.0 लागू किया जा रहा है?,Mission Poshan 2.0 is implemented through the network of over 14 Lakh (1.4 million) Anganwadi centres (AWCs) across the country.,"14 lakh, 14 Lakh, Anganwadi centres, AWCs, Mission Poshan 2.0",original,True
AU2208,women,Q2,1 अक्टूबर 2018 से AWWs का मासिक honorarium कितना बढ़ाया गया?,"From 1st October 2018, honorarium of AWWs was enhanced from Rs. 3,000 to Rs. 4,500 per month and AWHs from Rs. 1,500 to Rs. 2,250 per month.","4500, 3000, AWWs, October 2018, honorarium enhanced, 2250, AWHs",original,True
AU2208,women,Q3,उत्तर प्रदेश में in-position AWWs की संख्या कितनी है?,"State and UT wise details of in-position AWWs are placed at Annexure I of the document. (Specific UP number is in the annexure table, not stated in main answer text.)","Annexure I, in-position AWWs, Uttar Pradesh, State-wise",original,True
AU2208,women,Q4,PM POSHAN Scheme के तहत cook-cum-helpers को प्रति माह कितना honorarium दिया जाता है?,Cook-cum-helpers under PM POSHAN receive honorarium as per State-wise details in Annexure of the document. (Central rate varies by State; not given as a single figure in answer text.),"cook-cum-helpers, PM POSHAN, honorarium, State-wise",original,True
AU2208,women,Q5,Lakshadweep में cook-cum-helpers का मासिक honorarium कितना है?,Specific Lakshadweep cook-cum-helper honorarium is listed in the State/UT annexure of the document; not stated as a standalone figure in the main answer.,"Lakshadweep, cook-cum-helpers, honorarium, Annexure",original,True
AU2222,women,Q1,District Mental Health Programme कितने जिलों में लागू किया गया है?,District Mental Health Programme (DMHP) has been implemented in 767 districts under National Mental Health Programme.,"767 districts, District Mental Health Programme, DMHP, National Mental Health Programme",original,True
AU2222,women,Q2,Tele-MANAS Cells कितने States/UTs में स्थापित किए गए हैं?,Tele-MANAS has been established in 36 States/UTs.,"36 States/UTs, Tele-MANAS, established",original,True
AU2222,women,Q3,One Stop Centres की कुल कितनी इकाइयाँ देशभर में संचालित हैं?,One Stop Centres: 869 OSCs are functional across the country.,"869, One Stop Centres, OSCs, functional",original,True
AU2222,women,Q4,SHe-Box portal का मुख्य उद्देश्य क्या है?,"SHe-Box portal is meant for online registration and monitoring of complaints related to sexual harassment at workplace under the POSH Act, for women in both private and public sector.","SHe-Box, POSH Act, workplace harassment, online registration, private sector, public sector",original,True
AU2222,women,Q5,"OSH Code, 2020 के अनुसार सामान्य कार्य घंटे प्रतिदिन कितने हैं?","Under OSH Code, 2020, the normal working hours are 8 hours per day / 48 hours per week.","8 hours per day, 48 hours per week, OSH Code 2020, normal working hours",original,True
AU2491,women,Q1,भागलपुर जिले में वर्तमान में कितने Anganwadi Centres कार्यरत हैं?,"In Bhagalpur district, 3,264 Anganwadi Centres are currently functional and 3,269 have been proposed.","3264, 3269, Bhagalpur, Anganwadi Centres, functional, proposed",original,True
AU2491,women,Q2,Bhagalpur में POSHAN 2.0 के तहत गर्भवती महिलाओं की संख्या कितनी है?,"Under POSHAN 2.0 in Bhagalpur, 71,085 pregnant women are registered as beneficiaries.","71085, Bhagalpur, pregnant women, POSHAN 2.0",original,True
AU2491,women,Q3,0-6 वर्ष के बच्चों में कितने लाभार्थी Mission Poshan 2.0 के अंतर्गत हैं?,"Under Mission Poshan 2.0 in Bhagalpur, 2,06,937 children aged 0-6 years are registered as beneficiaries.","206937, 2,06,937, Bhagalpur, 0-6 years, children, Mission Poshan 2.0",original,True
AU2491,women,Q4,PMMVY के तहत Bhagalpur में कितने beneficiaries को भुगतान किया गया है?,"Under PMMVY in Bhagalpur, 24,154 beneficiaries have been paid.","24154, PMMVY, Bhagalpur, beneficiaries, paid",original,True
AU2491,women,Q5,Mission Shakti के कौन-से दो verticals बताए गए हैं?,Mission Shakti has two verticals: Sambal (for safety and security of women) and Samarthya (for empowerment of women).,"Sambal, Samarthya, Mission Shakti, two verticals, safety, empowerment",original,True
AU5696,women,Q1,Mission Shakti Portal कब लॉन्च किया गया था?,Mission Shakti Portal (https://missionshakti.wcd.gov.in/) was launched on 22.01.2025.,"22.01.2025, Mission Shakti Portal, January 2025",original,True
AU5696,women,Q2,SHe-Box Portal कब लॉन्च किया गया था?,SHe-Box Portal was launched for the first time in 2017 and has been revamped in 2023 with enhanced features.,"SHe-Box, 2017, revamped, 2023",original,True
AU5696,women,Q3,Karnataka में SHe-Box Portal पर कितनी शिकायतें दर्ज हुईं?,Karnataka: 21 complaints have been registered on SHe-Box Portal.,"21, Karnataka, SHe-Box Portal, complaints",original,True
AU5696,women,Q4,Cyber Crime reporting के लिए कौन-सा national portal उपलब्ध है?,National Cyber Crime Reporting Portal (www.cybercrime.gov.in) is available for reporting cyber crimes including online exploitation.,"cybercrime.gov.in, National Cyber Crime Reporting Portal, online exploitation",original,True
